fruit,price,grade,supplier,updated
apple,2.75,A,S001,2026-04-24
banana,1.14,A,S002,2026-04-24
orange,2.14,B,S003,2026-04-24
mango,5.28,B,S004,2026-04-24
grapes,4.27,C,S005,2026-04-24
pear,2.51,A,S006,2026-04-24
kiwi,3.66,A,S007,2026-04-24
strawberry,4.62,A,S008,2026-04-24
blueberry,6.23,B,S009,2026-04-24
pineapple,2.85,B,S010,2026-04-24
apple_granny_smith_organic_0001,3.05,A,S008,2026-04-24
banana_organic_premium_0002,1.42,A,S015,2026-04-24
orange_easy_peel_kg_0003,2.34,C,S022,2026-04-24
mango_kent_family_0004,6.45,A,S029,2026-04-24
grapes_red_value_0005,4.59,A,S036,2026-04-24
pear_packham_box_0006,3.03,A,S043,2026-04-24
kiwi_gold_single_0007,4.03,A,S050,2026-04-24
strawberry_premium_organic_0008,5.47,B,S057,2026-04-24
blueberry_organic_premium_0009,6.51,A,S064,2026-04-24
pineapple_whole_kg_0010,3.32,A,S071,2026-04-24
watermelon_slice_pack_family_0011,3.68,B,S078,2026-04-24
raspberry_uk_value_0012,6.88,A,S085,2026-04-24
cherry_turkish_box_0013,7.29,B,S092,2026-04-24
plum_black_single_0014,3.12,B,S099,2026-04-24
peach_yellow_organic_0015,3.25,A,S106,2026-04-24
apricot_premium_premium_0016,4.42,B,S113,2026-04-24
papaya_green_kg_0017,4.74,B,S120,2026-04-24
pomegranate_imported_family_0018,3.96,A,S007,2026-04-24
lime_organic_value_0019,2.11,C,S014,2026-04-24
lemon_standard_box_0020,2.45,B,S021,2026-04-24
apple_granny_smith_single_0021,2.83,B,S028,2026-04-24
banana_organic_organic_0022,1.28,B,S035,2026-04-24
orange_easy_peel_premium_0023,2.17,C,S042,2026-04-24
mango_kent_kg_0024,6.04,A,S049,2026-04-24
grapes_red_family_0025,5.24,B,S056,2026-04-24
pear_packham_value_0026,2.83,C,S063,2026-04-24
kiwi_gold_box_0027,4.27,A,S070,2026-04-24
strawberry_premium_single_0028,4.93,C,S077,2026-04-24
blueberry_organic_organic_0029,7.16,B,S084,2026-04-24
pineapple_whole_premium_0030,3.11,A,S091,2026-04-24
watermelon_slice_pack_kg_0031,4.18,A,S098,2026-04-24
raspberry_uk_family_0032,6.17,A,S105,2026-04-24
cherry_turkish_value_0033,8.36,C,S112,2026-04-24
plum_black_box_0034,2.80,B,S119,2026-04-24
peach_yellow_single_0035,3.74,C,S006,2026-04-24
apricot_premium_organic_0036,3.98,A,S013,2026-04-24
papaya_green_premium_0037,5.25,B,S020,2026-04-24
pomegranate_imported_kg_0038,3.69,C,S027,2026-04-24
lime_organic_family_0039,2.33,A,S034,2026-04-24
lemon_standard_value_0040,2.29,A,S041,2026-04-24
apple_granny_smith_box_0041,3.13,A,S048,2026-04-24
banana_organic_single_0042,1.19,A,S055,2026-04-24
orange_easy_peel_organic_0043,2.50,B,S062,2026-04-24
mango_kent_premium_0044,5.38,B,S069,2026-04-24
grapes_red_kg_0045,4.74,B,S076,2026-04-24
pear_packham_family_0046,2.43,A,S083,2026-04-24
kiwi_gold_value_0047,4.00,C,S090,2026-04-24
strawberry_premium_box_0048,5.64,A,S097,2026-04-24
blueberry_organic_single_0049,6.70,A,S104,2026-04-24
