history_id,date,pair,base,quote,rate,provider,quality_tier
GBP_INR-2023-05-01,2023-05-01,GBP_INR,GBP,INR,106.8824,manual_uploaded_rates,manual
USD_INR-2023-05-01,2023-05-01,USD_INR,USD,INR,82.3014,manual_uploaded_rates,manual
EUR_INR-2023-05-01,2023-05-01,EUR_INR,EUR,INR,90.5345,manual_uploaded_rates,manual
GBP_USD-2023-05-01,2023-05-01,GBP_USD,GBP,USD,1.27194,manual_uploaded_rates,manual
EUR_GBP-2023-05-01,2023-05-01,EUR_GBP,EUR,GBP,0.82824,manual_uploaded_rates,manual
EUR_USD-2023-05-01,2023-05-01,EUR_USD,EUR,USD,1.07474,manual_uploaded_rates,manual
USD_GBP-2023-05-01,2023-05-01,USD_GBP,USD,GBP,0.76908,manual_uploaded_rates,manual
GBP_EUR-2023-05-01,2023-05-01,GBP_EUR,GBP,EUR,1.16348,manual_uploaded_rates,manual
GBP_INR-2023-05-02,2023-05-02,GBP_INR,GBP,INR,106.99,manual_uploaded_rates,manual
USD_INR-2023-05-02,2023-05-02,USD_INR,USD,INR,82.3843,manual_uploaded_rates,manual
EUR_INR-2023-05-02,2023-05-02,EUR_INR,EUR,INR,90.6256,manual_uploaded_rates,manual
GBP_USD-2023-05-02,2023-05-02,GBP_USD,GBP,USD,1.27322,manual_uploaded_rates,manual
EUR_GBP-2023-05-02,2023-05-02,EUR_GBP,EUR,GBP,0.829074,manual_uploaded_rates,manual
EUR_USD-2023-05-02,2023-05-02,EUR_USD,EUR,USD,1.075822,manual_uploaded_rates,manual
USD_GBP-2023-05-02,2023-05-02,USD_GBP,USD,GBP,0.769854,manual_uploaded_rates,manual
GBP_EUR-2023-05-02,2023-05-02,GBP_EUR,GBP,EUR,1.164651,manual_uploaded_rates,manual
GBP_INR-2023-05-03,2023-05-03,GBP_INR,GBP,INR,107.0966,manual_uploaded_rates,manual
USD_INR-2023-05-03,2023-05-03,USD_INR,USD,INR,82.4663,manual_uploaded_rates,manual
EUR_INR-2023-05-03,2023-05-03,EUR_INR,EUR,INR,90.7159,manual_uploaded_rates,manual
GBP_USD-2023-05-03,2023-05-03,GBP_USD,GBP,USD,1.274489,manual_uploaded_rates,manual
EUR_GBP-2023-05-03,2023-05-03,EUR_GBP,EUR,GBP,0.829899,manual_uploaded_rates,manual
EUR_USD-2023-05-03,2023-05-03,EUR_USD,EUR,USD,1.076893,manual_uploaded_rates,manual
USD_GBP-2023-05-03,2023-05-03,USD_GBP,USD,GBP,0.770621,manual_uploaded_rates,manual
GBP_EUR-2023-05-03,2023-05-03,GBP_EUR,GBP,EUR,1.165811,manual_uploaded_rates,manual
GBP_INR-2023-05-04,2023-05-04,GBP_INR,GBP,INR,107.2011,manual_uploaded_rates,manual
USD_INR-2023-05-04,2023-05-04,USD_INR,USD,INR,82.5468,manual_uploaded_rates,manual
EUR_INR-2023-05-04,2023-05-04,EUR_INR,EUR,INR,90.8045,manual_uploaded_rates,manual
GBP_USD-2023-05-04,2023-05-04,GBP_USD,GBP,USD,1.275733,manual_uploaded_rates,manual
EUR_GBP-2023-05-04,2023-05-04,EUR_GBP,EUR,GBP,0.83071,manual_uploaded_rates,manual
EUR_USD-2023-05-04,2023-05-04,EUR_USD,EUR,USD,1.077945,manual_uploaded_rates,manual
USD_GBP-2023-05-04,2023-05-04,USD_GBP,USD,GBP,0.771373,manual_uploaded_rates,manual
GBP_EUR-2023-05-04,2023-05-04,GBP_EUR,GBP,EUR,1.166949,manual_uploaded_rates,manual
GBP_INR-2023-05-05,2023-05-05,GBP_INR,GBP,INR,107.3026,manual_uploaded_rates,manual
USD_INR-2023-05-05,2023-05-05,USD_INR,USD,INR,82.625,manual_uploaded_rates,manual
EUR_INR-2023-05-05,2023-05-05,EUR_INR,EUR,INR,90.8905,manual_uploaded_rates,manual
GBP_USD-2023-05-05,2023-05-05,GBP_USD,GBP,USD,1.276941,manual_uploaded_rates,manual
EUR_GBP-2023-05-05,2023-05-05,EUR_GBP,EUR,GBP,0.831496,manual_uploaded_rates,manual
EUR_USD-2023-05-05,2023-05-05,EUR_USD,EUR,USD,1.078965,manual_uploaded_rates,manual
USD_GBP-2023-05-05,2023-05-05,USD_GBP,USD,GBP,0.772104,manual_uploaded_rates,manual
GBP_EUR-2023-05-05,2023-05-05,GBP_EUR,GBP,EUR,1.168054,manual_uploaded_rates,manual
GBP_INR-2023-05-06,2023-05-06,GBP_INR,GBP,INR,107.4002,manual_uploaded_rates,manual
USD_INR-2023-05-06,2023-05-06,USD_INR,USD,INR,82.7001,manual_uploaded_rates,manual
EUR_INR-2023-05-06,2023-05-06,EUR_INR,EUR,INR,90.9731,manual_uploaded_rates,manual
GBP_USD-2023-05-06,2023-05-06,GBP_USD,GBP,USD,1.278102,manual_uploaded_rates,manual
EUR_GBP-2023-05-06,2023-05-06,EUR_GBP,EUR,GBP,0.832252,manual_uploaded_rates,manual
EUR_USD-2023-05-06,2023-05-06,EUR_USD,EUR,USD,1.079947,manual_uploaded_rates,manual
USD_GBP-2023-05-06,2023-05-06,USD_GBP,USD,GBP,0.772806,manual_uploaded_rates,manual
