pair_code,value,decimals,updated_at
GBP_INR,127.6757,4,2026-05-01T09:00:00Z
USD_INR,82.4244,4,2026-05-01T09:00:00Z
EUR_INR,109.9966,4,2026-05-01T09:00:00Z
GBP_USD,1.5268,4,2026-05-01T09:00:00Z
EUR_GBP,0.8468,4,2026-05-01T09:00:00Z
EUR_USD,1.3154,4,2026-05-01T09:00:00Z
USD_GBP,0.6353,4,2026-05-01T09:00:00Z
GBP_EUR,1.1508,4,2026-05-01T09:00:00Z
AUD_INR,54.4939,4,2026-05-01T09:00:00Z
CAD_INR,60.3312,4,2026-05-01T09:00:00Z
SGD_INR,63.8589,4,2026-05-01T09:00:00Z
AED_INR,22.4899,4,2026-05-01T09:00:00Z
